Core_Kmax,GR,PEF,PHIA,PHIE,PHIN,RHOB,RoMS,RT,SwIrr,SwMS,VCL,VSH
10.073,44.026,1.9598,0.204,0.1605,0.2198,2.3829,14.4638,35.3593,0.2048,0.5732,0.3961,0.2687
0.005,90.3833,2.3068,0.1264,0.0364,0.2406,2.6051,14,61.345,1,1,1,1
525.021,27.2427,1.9174,0.2423,0.22,0.2357,2.3063,12.9025,324.7022,0.1021,0.1577,0.1479,0.0885
2331.4561,20.4123,1.958,0.2473,0.242,0.2276,2.2834,12.9584,310.2741,0.0769,0.1929,0.0469,0
1080.968,19.2843,1.9755,0.2451,0.2316,0.2328,2.2955,12.9218,495.9235,0.0883,0.1357,0.0302,0.0424
3116.1489,18.1155,1.8833,0.2441,0.2393,0.2253,2.2887,13.2258,1101.6313,0.0798,0.1011,0.0129,0
2497.646,22.6123,1.9468,0.2518,0.2458,0.2325,2.2782,12.6009,1457.6625,0.0731,0.0853,0.0795,0
2701.2419,19.1414,1.8966,0.2639,0.2558,0.2353,2.2513,11.7171,1540.8905,0.0634,0.0798,0.0281,0
4754.6699,18.9749,1.8139,0.2523,0.2462,0.2261,2.2689,12.5635,1158.3402,0.0727,0.0959,0.0257,0
4036.302,17.7782,1.9404,0.2112,0.212,0.1913,2.3288,16.492,284.6755,0.1125,0.2286,0.008,0
158.734,21.8543,2.168,0.1613,0.1499,0.1627,2.4188,20.3756,77.6285,0.2314,0.4423,0.0682,0.1534
547.256,71.6643,2.2028,0.1644,0.1154,0.1992,2.457,15.4241,70.4609,0.3528,0.3528,0.8049,0.422
0.002,97.5587,2.2311,0.1424,0.0423,0.2429,2.5677,7.4971,70.6111,1,1,1,0.9508
0.008,98.4119,2.1803,0.1432,0.0364,0.2504,2.5751,14,76.8345,1,1,1,1
0.081,54.2054,2.1934,0.1356,0.0727,0.2023,2.5335,13.2739,47.9632,0.6627,0.6627,0.5467,0.6784
1.095,44.9923,2.1118,0.1294,0.1064,0.1552,2.4898,19.3993,42.1261,0.3975,0.5744,0.4104,0.3495
1.234,55.1176,1.9984,0.1436,0.1264,0.1566,2.4557,20.4118,55.7197,0.3071,0.5139,0.5602,0.2465
677.241,23.9127,1.8615,0.1948,0.1845,0.1878,2.3658,17.3599,110.138,0.1553,0.3517,0.0987,0.0854
292.982,26.8919,2.0099,0.1923,0.1883,0.181,2.3634,18.1664,71.3897,0.1487,0.4754,0.1427,0.0504
